,Unnamed: 0,Sno,Candidate,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,State,Constituency,Year
5265,5265,5266,manikandaprabug,IND,0,10th Pass,28,,0,0,tamil_nadu,dindigul,2009
7360,7360,7361,manikbauri,BSP,0,8th Pass,44,2000.0,0,0,west_bengal,bishnupur,2009
6827,6827,6828,manikchand,IND,0,Not Given,37,256000.0,0,0,uttar_pradesh,mirzapur,2009
7607,7607,7608,manikchandramondal,LJP,0,Graduate,33,10000.0,0,0,west_bengal,tamluk,2009
3412,3412,3413,manikramushinde,KM,0,Graduate,34,1850000.0,175000,0,maharashtra,aurangabad,2009
3319,3319,3320,maniksingh,SP,0,Not Given,44,5292603.0,0,0,madhya_pradesh,sidhi,2009
5334,5334,5335,manimarank,IND,0,10th Pass,38,3000.0,0,0,tamil_nadu,kancheepuram,2009
5597,5597,5598,manimarans,IND,0,8th Pass,29,69000.0,0,0,tamil_nadu,sriperumbudur,2009
5250,5250,5251,manir,IND,0,Others,66,500000.0,0,0,tamil_nadu,dharmapuri,2009
3084,3084,3085,maniramramjatav,LJP,0,12th Pass,27,165000.0,0,0,madhya_pradesh,guna,2009
5637,5637,5638,manis,IND,0,5th Pass,41,605000.0,200000,0,tamil_nadu,theni,2009
6884,6884,6885,manish,ABHM,0,10th Pass,35,503374.0,0,0,uttar_pradesh,muzaffarnagar,2009
3745,3745,3746,manishamukeshgade,KKJHS,0,Post Graduate,34,6200000.0,0,0,maharashtra,mumbai_north_east,2009
5429,5429,5430,manishankaraiyar,INC,0,Post Graduate,68,72014689.0,0,0,tamil_nadu,mayiladuthurai,2009
6341,6341,6342,manishasija,IND,4,Graduate,44,25552837.0,122495,0,uttar_pradesh,firozabad,2009
680,680,681,manishbhattacharjee,IND,0,10th Pass,62,702000.0,0,0,assam,silchar,2009
3292,3292,3293,manishkumarjain,IND,0,12th Pass,31,20538.0,0,0,madhya_pradesh,satna,2009
6281,6281,6282,manishkumarpandey,ABHM,0,Post Graduate,35,32500.0,0,0,uttar_pradesh,faizabad,2009
1291,1291,1292,manishkunjam,CPI,0,Not Given,42,1560000.0,500000,0,chhattisgarh,bastar,2009
4650,4650,4651,manishtewari,INC,0,Graduate Professional,44,29941543.0,0,1,punjab,ludhiana,2009
5174,5174,5175,manivannanc,IND,0,Graduate,39,105000.0,131500,0,tamil_nadu,chennai_south,2009
5381,5381,5382,manivannans,IND,0,Graduate Professional,36,1247000.0,0,0,tamil_nadu,karur,2009
4133,4133,4134,maniyaryunusmahmoodzahmi,AUDF,0,10th Pass,50,21100000.0,4200000,0,maharashtra,yavatmal-washim,2009
2687,2687,2688,manjappas,IND,0,Literate,58,50000.0,0,0,karnataka,shimoga,2009
5862,5862,5863,manjeshkumar,IND,0,12th Pass,37,115000.0,0,0,uttar_pradesh,akbarpur,2009
7039,7039,7040,manji,IND,0,Literate,50,769750.0,0,0,uttar_pradesh,salempur,2009
2448,2448,2449,manjilemiyyapeersabquresh,IND,0,8th Pass,33,200000.0,0,0,karnataka,bidar,2009
4516,4516,4517,manjitkaur,DBSP,0,Illiterate,37,11000.0,0,0,punjab,anandpur_sahib,2009
2238,2238,2239,manjooralamansari,IND,0,Post Graduate,45,1503000.0,0,0,jharkhand,kodarma,2009
